date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:07	336/336	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202019%2014:25:46%20GMT	http://wadhwagroupprojects.in/atmosphere	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere.0.delayed	(from )
19:54:07	108470/108470	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2014:25:46%20GMT	http://wadhwagroupprojects.in/atmosphere/	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/index.html	(from )
19:54:08	295/295	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jul%202019%2014:25:47%20GMT	http://wadhwagroupprojects.in/robots.txt		(from )
19:54:08	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Jul%202019%2014:24:08%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/wadhwa%202/www.googletagmanager.com/gtm.15445.delayed	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:09	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-57d4c6a1e4d59-gzip%22	http://wadhwagroupprojects.in/atmosphere/css/bootstrap.min.css	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/css/bootstrap.min.css	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:10	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-15283%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/My%20Web%20Sites/wadhwa%202/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:10	35044/35044	---M-Z	200	added ('OK')	text/css	etag:%2288e4-5840b7451df19-gzip%22	http://wadhwagroupprojects.in/atmosphere/css/style.css	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/css/style.css	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:11	3878/3878	---M-Z	200	added ('OK')	text/css	etag:%22f26-57d4c6a1f9579-gzip%22	http://wadhwagroupprojects.in/atmosphere/lightbox/light-box.css	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/lightbox/light-box.css	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:12	2069/2069	---M-Z	200	added ('OK')	text/css	etag:%22815-57d4c6a1e4d59-gzip%22	http://wadhwagroupprojects.in/atmosphere/css/modal-video.min.css	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/css/modal-video.min.css	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:12	5852/5852	---M-Z	200	added ('OK')	text/css	etag:%2216dc-57d4c6a1e4d59-gzip%22	http://wadhwagroupprojects.in/atmosphere/css/form.css	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/css/form.css	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:13	7746/7746	---M--	200	added ('OK')	image/png	etag:%221e42-57d4c6a1f6699%22	http://wadhwagroupprojects.in/atmosphere/images/logo.png	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/images/logo.png	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:30	89085/89085	---M--	200	added ('OK')	image/jpeg	etag:%2215bfd-5899f57b108b9%22	http://wadhwagroupprojects.in/atmosphere/images/m1-banner.jpg	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/images/m1-banner.jpg	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:31	1174/1174	---M--	200	added ('OK')	image/png	etag:%22496-57d4c6a1f56f9%22	http://wadhwagroupprojects.in/atmosphere/images/left.png	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/images/left.png	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:33	9198/9198	---M--	200	added ('OK')	image/png	etag:%2223ee-57d4c6a1f85d9%22	http://wadhwagroupprojects.in/atmosphere/images/right.png	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/images/right.png	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:36	140915/140915	---M--	200	added ('OK')	image/jpeg	etag:%2222673-58bab5866fe59%22	http://wadhwagroupprojects.in/atmosphere/images/m2-banner.jpg	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/images/m2-banner.jpg	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:48	211789/211789	---M--	200	added ('OK')	image/jpeg	etag:%2233b4d-5899f57b0f919%22	http://wadhwagroupprojects.in/atmosphere/images/Banner1.jpg	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/images/Banner1.jpg	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:48	91610/91610	---M--	200	added ('OK')	image/jpeg	etag:%22165da-57d4c6a1f7639%22	http://wadhwagroupprojects.in/atmosphere/images/overview2.jpg	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/images/overview2.jpg	(from http://wadhwagroupprojects.in/atmosphere/)
19:54:49	83830/83830	---M--	200	added ('OK')	image/jpeg	etag:%2214776-57d4c6a1f7639%22	http://wadhwagroupprojects.in/atmosphere/images/overview3.jpg	C:/My%20Web%20Sites/wadhwa%202/wadhwagroupprojects.in/atmosphere/images/overview3.jpg	(from http://wadhwagroupprojects.in/atmosphere/)
